Name, InstanceName, ID,FoodGroup,ShortDescrip,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA, Cholesterol, MonounsaturatedFat, PolyunsaturatedFat, Potassium, SaturatedFat, Sodium
Pimiento piquillo,PimientoPiquillo,11821,Vegetables and Vegetable Products,"PEPPERS,SWT,RED,RAW","Peppers, sweet, red, raw",,,,31.0,0.99,0.3,6.03,4.2,2.1,157.0,0.291,0.0,127.7,1.58,46.0,0.979,0.085,0.054,7.0,0.017,0.43,12.0,0.112,26.0,0.1,0.25,0.17444444444444446,0.1711764705882353,0.0,1.4188888888888889,0.10533333333333333,0.115,0.0611875,0.06538461538461539,0.045,0.005833333333333334,1.888888888888889e-05,0.02857142857142857,0.037142857142857144,0.0018181818181818182,0.022727272727272728,0,0.007,0.156,211,0.059,4
Pimiento rojo,PimientoRojo,11821,Vegetables and Vegetable Products,"PEPPERS,SWT,RED,RAW","Peppers, sweet, red, raw",,,,31.0,0.99,0.3,6.03,4.2,2.1,157.0,0.291,0.0,127.7,1.58,46.0,0.979,0.085,0.054,7.0,0.017,0.43,12.0,0.112,26.0,0.1,0.25,0.17444444444444446,0.1711764705882353,0.0,1.4188888888888889,0.10533333333333333,0.115,0.0611875,0.06538461538461539,0.045,0.005833333333333334,1.888888888888889e-05,0.02857142857142857,0.037142857142857144,0.0018181818181818182,0.022727272727272728,0,0.007,0.156,211,0.059,4
Pimiento verde,PimientoVerde,11333,Vegetables and Vegetable Products,"PEPPERS,SWT,GRN,RAW","Peppers, sweet, green, raw",,,Capsicum annuum,20.0,0.86,0.17,4.64,2.4,1.7,18.0,0.224,0.0,80.4,0.37,10.0,0.48,0.028,0.057,10.0,0.066,0.34,10.0,0.122,20.0,0.0,0.13,0.02,0.13176470588235295,0.0,0.8933333333333334,0.024666666666666667,0.025,0.03,0.021538461538461538,0.0475,0.008333333333333333,7.333333333333333e-05,0.023809523809523808,0.02857142857142857,0.0,0.011818181818181818,0,0.008,0.062,175,0.058,3
Piñón,Pinon,12147,Nut and Seed Products,"NUTS,PINE NUTS,DRIED","Nuts, pine nuts, dried",,,Pinus spp.,673.0,13.69,68.37,13.08,3.59,3.7,1.0,0.094,0.0,0.8,9.33,34.0,4.387,0.227,0.364,16.0,1.324,5.53,251.0,8.802,575.0,0.7,6.45,0.0011111111111111111,0.05529411764705883,0.0,0.008888888888888889,0.622,0.085,0.2741875,0.17461538461538462,0.30333333333333334,0.013333333333333334,0.0014711111111111112,0.5976190476190476,0.8214285714285714,0.012727272727272726,0.5863636363636364,0,18.764,34.071,597,4.899,2
Puerro,Puerro,11246,Vegetables and Vegetable Products,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW","Leeks, (bulb and lower leaf-portion), raw",,,Allium ampeloprasum,61.0,1.5,0.3,14.15,3.9,1.8,83.0,0.233,0.0,12.0,0.92,64.0,0.4,0.03,0.06,59.0,0.12,2.1,28.0,0.481,35.0,1.0,0.12,0.09222222222222222,0.1370588235294118,0.0,0.13333333333333333,0.06133333333333334,0.16,0.025,0.023076923076923075,0.05,0.049166666666666664,0.00013333333333333334,0.06666666666666667,0.05,0.01818181818181818,0.010909090909090908,0,0.166,0.004,180,0.040,20
Queso,Queso,01035,Dairy and Egg Products,"CHEESE,PROVOLONE","Cheese, provolone",,,,351.0,25.58,26.62,2.14,0.56,0.0,236.0,0.073,1.46,0.0,0.23,10.0,0.156,0.321,0.019,756.0,0.026,0.52,28.0,0.01,496.0,14.5,3.23,0.26222222222222225,0.04294117647058823,0.6083333333333334,0.0,0.015333333333333334,0.025,0.00975,0.2469230769230769,0.015833333333333335,0.63,2.8888888888888888e-05,0.06666666666666667,0.7085714285714285,0.2636363636363636,0.29363636363636364,69.0,7.393,0.769,138,17.078,727
Queso Parmesano,QuesoParmesano, 01032,Dairy and Egg Products,"CHEESE,PARMESAN,GRATED","Cheese, parmesan, grated",,,,420.0,28.42,27.84,13.91,0.07,0.0,262.0,0.081,1.4,0.0,0.53,6.0,0.08,0.358,0.026,853.0,0.04,0.49,34.0,0.071,627.0,34.4,4.2,0.2911111111111111,0.04764705882352942,0.5833333333333334,0.0,0.035333333333333335,0.015,0.005,0.27538461538461534,0.021666666666666667,0.7108333333333333,4.4444444444444447e-05,0.08095238095238096,0.8957142857142857,0.6254545454545454,0.38181818181818183,86.0,7.130,1.386,180,15.371,1804
Rabanito,Rabanito,11429,Vegetables and Vegetable Products,"RADISHES,RAW","Radishes, raw",,,Raphanus sativus,16.0,0.68,0.1,3.4,1.86,1.6,0.0,0.071,0.0,14.8,0.0,25.0,0.254,0.039,0.012,25.0,0.05,0.34,10.0,0.069,20.0,0.6,0.28,0.0,0.04176470588235294,0.0,0.16444444444444445,0.0,0.0625,0.015875,0.03,0.01,0.020833333333333332,5.555555555555556e-05,0.023809523809523808,0.02857142857142857,0.010909090909090908,0.025454545454545455,0,0.017,0.048,270.0,0.032,45.0
Rape,Rape,15054,Finfish and Shellfish Products,"MONKFISH,RAW","Fish, monkfish, raw",,,Lophius piscatorius L.,76.0,14.48,1.52,0.0,0.0,0.0,12.0,0.24,0.9,1.0,0.0,7.0,2.1,0.06,0.025,8.0,0.028,0.32,21.0,0.024,200.0,36.5,0.41,0.013333333333333334,0.1411764705882353,0.375,0.011111111111111112,0.0,0.0175,0.13125,0.04615384615384615,0.020833333333333336,0.006666666666666667,3.111111111111111e-05,0.05,0.2857142857142857,0.6636363636363637,0.03727272727272727,25.0,0.240,0.610,400,0.340,18.0
Sal,Sal,02047,Spices and Herbs,"SALT,TABLE","Salt, table",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.03,0.33,1.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,3.3333333333333335e-05,0.002380952380952381,0.0,0.0018181818181818182,0.009090909090909092,0.0,0.0,0.0,8.0,0.0,38758.0
Salmón Ahumado,SalmonAhumado, 15077,Finfish and Shellfish Products,"SALMON,CHINOOK,SMOKED","Fish, salmon, chinook, smoked",,,,117.0,18.28,4.32,0.0,0.0,0.0,26.0,0.278,3.26,0.0,1.35,2.0,4.72,0.101,0.023,11.0,0.23,0.85,18.0,0.017,164.0,32.4,0.31,0.028888888888888888,0.1635294117647059,1.3583333333333334,0.0,0.09000000000000001,0.005,0.295,0.0776923076923077,0.01916666666666667,0.009166666666666667,0.0002555555555555556,0.04285714285714286,0.2342857142857143,0.5890909090909091,0.028181818181818183,23.0,2.023,0.995,175.0,0.929,672.0
Ternera,Ternera,17142,"Lamb, Veal, and Game Products","VEAL,GROUND,RAW","Veal, ground, raw",IMPS 396,,,197.0,18.58,13.06,0.0,0.0,0.0,0.0,0.446,2.28,0.0,0.49,3.0,5.52,0.28,0.113,12.0,0.088,1.37,31.0,0.008,197.0,13.1,2.51,0.0,0.2623529411764706,0.95,0.0,0.03266666666666666,0.0075,0.345,0.2153846153846154,0.09416666666666668,0.01,9.777777777777777e-05,0.07380952380952381,0.2814285714285714,0.2381818181818182,0.22818181818181815,49,6.159,0.732,198.0,5.108,103
Tomate,Tomate,11529,Vegetables and Vegetable Products,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE","Tomatoes, red, ripe, raw, year round average","Includes USDA commodity food A238, A233",,Solanum lycopersicum,18.0,0.88,0.2,3.89,2.63,1.2,42.0,0.08,0.0,13.7,0.54,15.0,0.594,0.019,0.037,10.0,0.059,0.27,11.0,0.114,24.0,0.0,0.17,0.04666666666666667,0.047058823529411764,0.0,0.1522222222222222,0.036000000000000004,0.0375,0.037125,0.014615384615384615,0.030833333333333334,0.008333333333333333,6.555555555555556e-05,0.02619047619047619,0.03428571428571429,0.0,0.015454545454545455,0.0,0.046,0.124, 237.0, 0.028, 5.0
Tomate Frito,TomateFrito,06972,"Soups, Sauces, and Gravies","SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","Sauce, tomato chili sauce, bottled, with salt",,,,104.0,2.5,0.3,19.79,10.54,5.9,34.0,0.16,0.0,16.0,1.92,9.0,1.6,0.07,0.09,20.0,0.13,0.8,12.0,0.0,52.0,1.1,0.16,0.03777777777777778,0.09411764705882353,0.0,0.17777777777777778,0.128,0.0225,0.1,0.05384615384615385,0.075,0.016666666666666666,0.00014444444444444444,0.02857142857142857,0.07428571428571429,0.02,0.014545454545454545,3.0,0.0,0.0,0.0,0.330,667
Vinagre,Vinagre,02048,Spices and Herbs,"VINEGAR,CIDER","Vinegar, cider",,,,21.0,0.0,0.0,0.93,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.008,0.2,5.0,0.249,8.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333334,8.888888888888888e-06,0.011904761904761904,0.011428571428571429,0.0018181818181818182,0.0036363636363636364,0.0,0.0,0.0,73.0,0.0,5.0
Vino blanco,VinoBlanco,14106,Beverages,"ALCOHOLIC BEV,WINE,TABLE,WHITE","Alcoholic beverage, wine, table, white",,,,82.0,0.07,0.0,2.6,0.96,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.108,0.015,0.005,9.0,0.004,0.27,10.0,0.117,18.0,0.1,0.12,0.0,0.029411764705882356,0.0,0.0,0.0,0.0025,0.00675,0.011538461538461537,0.004166666666666667,0.0075,4.444444444444444e-06,0.023809523809523808,0.025714285714285714,0.0018181818181818182,0.010909090909090908,0.0,0.0,0.0,71.0,0.0,5.0
Zanahoria,Zanahoria,11124,Vegetables and Vegetable Products,"CARROTS,RAW","Carrots, raw",Includes USDA commodity food A099,,Daucus carota,41.0,0.93,0.24,9.58,4.74,2.8,835.0,0.138,0.0,5.9,0.66,19.0,0.983,0.058,0.066,33.0,0.045,0.3,12.0,0.143,35.0,0.1,0.24,0.9277777777777778,0.08117647058823531,0.0,0.06555555555555556,0.044000000000000004,0.0475,0.0614375,0.04461538461538462,0.05500000000000001,0.0275,4.9999999999999996e-05,0.02857142857142857,0.05,0.0018181818181818182,0.021818181818181816,0.0,0.012,0.102,320.0,0.032,69.0
